ID, IAU Identifier, Catalog Coordinate  Ra, Catalog Coordinate  Dec, mag r-band  Petrosian, mag r-band  Auto, Redshift (Heliocentric), Redshift (Flow Corrected), Absolute Mag r-band  Auto, r-band Effective Radius, Surface Brightness (1R_e_AVG), Surface Brightness (1R_e), Surface Brightness (2R_e), Ellipticity  r-band, Position Angle  r-band, Stellar Mass, Colour Auto g-i, Galactic extinction  g-band, Priority Class, Bad Class
85507,J121103.37+003726.7,182.76408,0.6241,17.076,17.115,0.02007,0.02181,-17.78,2.47,19.68,20.73,22.38,0.736,27.65,9.02,0.85,0.108,8,0
91924,J141701.67+002837.4,214.25699,0.47707,15.218,15.176,0.05251,0.0534,-21.74,9.2,21.6,22.78,24.39,0.2902,40.16,10.6,0.88,0.136,8,0
91926,J141704.44+003028.7,214.26852,0.508,15.712,15.726,0.02573,0.0266,-19.64,4.63,19.79,20.69,22.39,0.7045,168.67999,10.06,1.22,0.134,8,0
91959,J141722.37+002821.6,214.34321,0.47268,16.924,16.896,0.05039,0.05127,-19.97,2.49,19.99,21.08,22.71,0.5855,42.67,10.12,1.19,0.134,8,0
91961,J141712.95+003201.2,214.30396,0.53368,15.854,15.674,0.07737,0.07828,-22.17,4.4,20.64,22.23,23.78,0.1489,123.98,11.03,1.29,0.132,8,5
91963,J141727.96+002857.9,214.36653,0.48278,14.643,14.579,0.04999,0.05087,-22.26,7.36,20.68,21.78,23.41,0.2234,37.59,11.04,1.19,0.134,8,0
91988,J141749.86+003039.3,214.45775,0.51094,14.619,14.506,0.05212,0.053,-22.43,6.27,19.93,21.51,23.06,0.3235,0.37,11.14,1.23,0.138,8,0
91989,J141748.51+003039.4,214.45215,0.51095,16.93,16.636,0.05328,0.05416,-20.36,3.63,21.17,22.71,24.27,0.0945,175.32001,10.25,1.16,0.138,8,0
91996,J141754.17+002741.0,214.47573,0.46142,16.494,16.492,0.05455,0.05544,-20.56,2.55,18.99,20.04,21.69,0.7676,8.46,10.46,1.34,0.139,8,0
91999,J141802.00+002901.7,214.50836,0.48381,16.3,16.313,0.05281,0.05369,-20.65,1.26,18.05,19.21,20.83,0.5478,145.89999,10.43,1.24,0.139,8,5
92770,J143014.98+003716.9,217.56242,0.62138,15.817,15.759,0.02625,0.02705,-19.64,3.28,19.95,20.75,22.5,0.4204,105.43,9.93,1.04,0.146,8,0
