#UGC 624 = NGC 338
#Zasov+2012
#PA=197
# inclination =  64 deg (adopted by Zasov)
# data are not corrected for inclination
#      r,"      v_Hbeta      e_V         max_Hb     e_max        sig_Hb     e_sig       v_OIII      e_v        max_OIII_1    e_max       sig_OIII    e_sig   [OIII]/Hbeta  e_oiii_hb        S/N
     -1.78     4664.08    4.91E+00     1364.77    8.79E+01       79.89    6.14E+00     4717.34    7.08E+00      373.40    2.15E+01      116.68    7.98E+00        0.03    5.83E-02       14.40
     -1.43     4687.73    5.11E+00     1369.78    9.77E+01       76.51    6.49E+00     4715.79    6.78E+00      416.59    2.09E+01      126.22    7.50E+00        0.13    5.88E-02       13.41
     -1.07     4705.52    5.35E+00     1351.39    1.03E+02       75.68    6.85E+00     4730.11    6.39E+00      456.14    2.28E+01      119.93    7.12E+00        0.16    6.15E-02       12.79
     -0.71     4721.29    5.48E+00     1337.51    8.95E+01       84.27    6.75E+00     4749.13    6.26E+00      480.53    2.17E+01      128.82    6.87E+00        0.17    5.45E-02       12.77
     -0.36     4734.03    5.91E+00     1252.96    8.45E+01       88.65    7.17E+00     4751.20    5.83E+00      517.34    2.51E+01      113.77    6.55E+00        0.16    5.62E-02       12.98
      0.00     4754.48    5.80E+00     1303.98    1.07E+02       75.42    7.42E+00     4757.10    6.21E+00      499.74    2.20E+01      130.88    6.80E+00        0.26    6.30E-02       10.92
      0.36     4781.66    5.62E+00     1333.21    9.99E+01       78.95    7.09E+00     4762.76    5.90E+00      518.61    2.36E+01      121.91    6.57E+00        0.21    5.93E-02       10.71
      0.71     4797.20    5.59E+00     1318.84    9.13E+01       83.16    6.90E+00     4775.82    6.42E+00      465.83    2.34E+01      119.77    7.17E+00        0.14    5.79E-02       10.84
      1.07     4806.02    5.16E+00     1413.88    1.04E+02       75.04    6.58E+00     4791.81    7.44E+00      401.31    2.01E+01      135.82    8.09E+00        0.14    6.01E-02       12.59
      1.43     4838.93    4.81E+00     1486.40    1.07E+02       72.49    6.22E+00     4812.00    7.45E+00      386.30    2.00E+01      132.66    8.14E+00        0.11    5.99E-02       14.29
      1.78     4848.91    4.66E+00     1466.39    9.21E+01       78.53    5.86E+00     4823.33    7.57E+00      359.35    2.17E+01      117.88    8.49E+00       -0.00    5.88E-02       16.09
      2.14     4865.73    4.12E+00     1623.56    1.00E+02       72.76    5.31E+00     4831.99    7.61E+00      338.99    2.33E+01      106.48    8.75E+00       -0.08    6.23E-02       14.90
      2.50     4884.49    3.49E+00     1946.42    1.33E+02       60.71    4.83E+00     4856.81    7.92E+00      312.79    2.22E+01      107.11    9.10E+00       -0.11    6.62E-02       15.85
      2.86     4894.58    3.16E+00     2055.67    1.19E+02       63.65    4.27E+00     4873.10    8.18E+00      289.31    2.46E+01       94.83    9.69E+00       -0.25    6.94E-02       21.22
      3.21     4906.21    2.94E+00     2143.35    1.14E+02       64.07    3.95E+00     4898.66    8.17E+00      278.35    2.70E+01       85.92    9.99E+00       -0.33    7.47E-02       17.30
      3.57     4917.51    2.59E+00     2478.24    1.47E+02       55.31    3.74E+00     4907.48    7.77E+00      286.11    3.21E+01       74.38    9.97E+00       -0.38    8.54E-02       27.41
      3.93     4923.39    2.53E+00     2493.36    1.53E+02       53.49    3.71E+00     4909.38    8.55E+00      245.46    2.23E+01       93.21    1.02E+01       -0.33    7.36E-02       26.00
      4.47     4934.28    1.59E+00     2870.51    1.38E+02       46.56    2.49E+00     4913.59    6.08E+00      234.08    1.86E+01       79.67    7.60E+00       -0.42    6.23E-02       28.77
      5.00     4943.33    2.03E+00     3315.92    2.60E+02       40.12    3.45E+00     4924.87    9.35E+00      202.47    2.22E+01       86.55    1.14E+01       -0.45    8.99E-02       29.90
      5.35     4946.52    1.94E+00     3190.24    2.08E+02       43.88    3.14E+00     4916.19    7.17E+00      261.76    2.88E+01       71.54    9.34E+00       -0.44    8.52E-02       26.07
      5.71     4948.75    1.95E+00     3025.93    1.86E+02       45.52    3.08E+00     4926.90    7.66E+00      239.20    3.16E+01       66.01    1.03E+01       -0.51    9.73E-02       31.17
      6.25     4954.35    1.44E+00     2826.32    1.37E+02       43.52    2.31E+00     4930.48    6.19E+00      194.37    1.82E+01       72.15    8.03E+00       -0.51    7.05E-02       37.64
      6.96     4957.22    1.55E+00     2510.25    1.44E+02       41.28    2.59E+00     4943.60    5.80E+00      207.07    2.71E+01       55.60    8.46E+00       -0.52    9.47E-02       31.50
      7.67     4964.90    1.63E+00     2414.17   -0.00E+00       36.72    6.56E-01     4943.91    7.31E+00      145.15    1.67E+01       70.27    9.60E+00       -0.51    7.79E-02       34.74
      8.37     4973.04    1.70E+00     2118.98   -0.00E+00       40.21    7.45E-01     4942.03    7.33E+00      155.69    2.55E+01       54.48    1.05E+01       -0.57    1.10E-01       28.75
      9.12     4980.95    1.62E+00     2186.62    1.40E+02       39.79    2.76E+00     4944.60   -0.00E+00       41.66   -0.00E+00        0.00   -0.00E+00   -Infinity        -NaN       36.09
      9.83     4988.63    1.59E+00     2291.95   -0.00E+00       38.34    6.75E-01     4979.99    6.46E+00      164.54    2.67E+01       52.09    9.76E+00       -0.58    1.08E-01       32.84
     10.53     4995.80    1.36E+00     2794.06   -0.00E+00       36.58    5.54E-01     4982.66    5.50E+00      209.88    4.07E+01       42.59    9.28E+00       -0.63    1.27E-01       37.28
     11.25     5000.92    1.22E+00     3107.12   -0.00E+00       36.86    5.00E-01     4993.81    4.91E+00      266.40    6.93E+01       33.74    9.59E+00       -0.67    1.67E-01       42.21
     11.96     5004.25    1.14E+00     3376.74   -0.00E+00       36.29    4.64E-01     5234.47   -0.00E+00       54.52   -0.00E+00        0.00   -0.00E+00   -Infinity        -NaN       41.46
     12.67     5008.87    1.13E+00     3440.27   -0.00E+00       35.96    4.55E-01     5018.92   -0.00E+00      185.16   -0.00E+00        0.00   -0.00E+00   -Infinity        -NaN       39.21
     13.38     5009.36    1.16E+00     3270.86   -0.00E+00       35.74    4.67E-01     5004.16    5.05E+00      223.73    4.32E+01       40.49    8.74E+00       -0.68    1.26E-01       40.72
     14.09     5009.10    1.30E+00     2759.30   -0.00E+00       36.28    5.27E-01     5002.42    5.75E+00      187.55    3.89E+01       41.94    9.78E+00       -0.67    1.36E-01       37.14
     14.79     5009.66    1.54E+00     2256.11   -0.00E+00       34.95    6.01E-01     5011.30    6.26E+00      165.08    3.53E+01       43.25    1.04E+01       -0.61    1.40E-01       34.17
     15.53     5011.38    1.81E+00     1786.09   -0.00E+00       36.20    7.19E-01     5013.75    7.02E+00      152.04    4.38E+01       38.88    1.25E+01       -0.61    1.88E-01       32.92
     16.42     5009.83    1.66E+00     1578.79   -0.00E+00       33.84    6.23E-01     5013.75    5.69E+00      153.92    3.86E+01       37.34    1.04E+01       -0.54    1.63E-01       29.93
     17.47     5010.28    1.77E+00     1418.52   -0.00E+00       34.40    6.73E-01     5007.85   -0.00E+00      289.49   -0.00E+00        0.00   -0.00E+00   -Infinity        -NaN       25.21
     18.60     5013.18    1.63E+00     1531.69   -0.00E+00       35.34    6.36E-01     5010.52    4.41E+00      264.28    1.18E+02       23.71    1.12E+01       -0.50    2.83E-01       26.18
     19.45     5012.59    1.75E+00     1800.62   -0.00E+00       33.60    6.63E-01     5016.48    5.73E+00      171.50    3.92E+01       39.58    1.01E+01       -0.52    1.49E-01       28.22
     20.16     5019.13    1.80E+00     1765.60   -0.00E+00       36.38    7.10E-01     5012.75    4.66E+00      259.03    8.78E+01       28.33    1.03E+01       -0.51    2.16E-01       30.43
     20.88     5016.46    1.77E+00     1732.96   -0.00E+00       34.05    6.75E-01     5023.96   -0.00E+00      327.00   -0.00E+00        0.00   -0.00E+00   -Infinity        -NaN       26.40
     21.74     5015.05    1.71E+00     1367.35   -0.00E+00       34.01    6.48E-01     5020.11    4.98E+00      211.46    1.08E+02       23.70    1.28E+01       -0.53    3.23E-01       29.03
     23.09     5010.93    2.21E+00      685.80   -0.00E+00       38.25    8.98E-01     5004.98    6.13E+00      116.13    6.04E+01       26.11    1.45E+01       -0.50    3.30E-01       28.75
