NGC 278     3.71 17.86
NGC 278     3.83 17.89
NGC 278     3.94 17.92
NGC 278     4.06 17.94
NGC 278     4.18 17.97
NGC 278     4.31 18.00
NGC 278     4.44 18.02
NGC 278     4.57 18.05
NGC 278     4.70 18.07
NGC 278     4.85 18.10
NGC 278     4.99 18.13
NGC 278     5.14 18.15
NGC 278     5.30 18.18
NGC 278     5.45 18.21
NGC 278     5.62 18.24
NGC 278     5.79 18.27
NGC 278     5.96 18.30
NGC 278     6.14 18.33
NGC 278     6.32 18.36
NGC 278     6.51 18.39
NGC 278     6.71 18.43
NGC 278     6.91 18.46
NGC 278     7.12 18.49
NGC 278     7.33 18.52
NGC 278     7.55 18.55
NGC 278     7.78 18.58
NGC 278     8.01 18.61
NGC 278     8.25 18.64
NGC 278     8.50 18.67
NGC 278     8.75 18.70
NGC 278     9.02 18.72
NGC 278     9.28 18.75
NGC 278     9.57 18.78
NGC 278     9.85 18.81
NGC 278    10.15 18.84
NGC 278    10.45 18.87
NGC 278    10.76 18.89
NGC 278    11.09 18.91
NGC 278    11.42 18.93
NGC 278    11.76 18.95
NGC 278    12.11 18.97
NGC 278    12.48 18.98
NGC 278    12.85 19.00
NGC 278    13.24 19.01
NGC 278    13.64 19.04
NGC 278    14.04 19.06
NGC 278    14.47 19.08
NGC 278    14.90 19.10
NGC 278    15.35 19.12
NGC 278    15.81 19.14
NGC 278    16.28 19.18
NGC 278    16.77 19.23
NGC 278    17.27 19.27
NGC 278    17.79 19.31
NGC 278    18.33 19.36
NGC 278    18.88 19.41
NGC 278    19.44 19.46
NGC 278    20.03 19.52
NGC 278    20.63 19.58
NGC 278    21.25 19.62
NGC 278    21.88 19.65
NGC 278    22.54 19.71
NGC 278    23.22 19.76
NGC 278    23.91 19.81
NGC 278    24.63 19.89
NGC 278    25.37 19.97
NGC 278    26.13 20.05
NGC 278    26.91 20.16
NGC 278    27.72 20.28
NGC 278    28.55 20.36
NGC 278    29.41 20.45
NGC 278    30.29 20.53
NGC 278    31.20 20.61
NGC 278    32.14 20.67
NGC 278    33.10 20.74
NGC 278    34.09 20.82
NGC 278    35.12 20.90
NGC 278    36.17 20.98
NGC 278    37.25 21.07
NGC 278    38.37 21.15
NGC 278    39.52 21.23
NGC 278    40.71 21.32
NGC 278    41.93 21.42
NGC 278    43.19 21.51
NGC 278    44.48 21.61
NGC 278    45.82 21.72
NGC 278    47.19 21.83
NGC 278    48.61 21.94
NGC 278    50.07 22.06
NGC 278    51.57 22.17
NGC 278    53.12 22.28
NGC 278    54.71 22.40
NGC 278    56.35 22.50
NGC 278    58.04 22.62
NGC 278    59.78 22.72
NGC 278    61.58 22.82
NGC 278    63.42 22.92
NGC 278    65.33 23.01
NGC 278    67.29 23.11
NGC 278    69.30 23.22
NGC 278    71.38 23.33
NGC 278    73.53 23.42
NGC 278    75.73 23.53
NGC 278    78.00 23.62
NGC 278    80.34 23.72
NGC 278    82.75 23.81
NGC 278    85.24 23.91
NGC 278    87.79 24.03
NGC 278    90.43 24.14
NGC 278    93.14 24.18
NGC 278    95.93 24.26
NGC 278    98.81 24.35
NGC 278   101.78 24.41
NGC 278   104.83 24.47
NGC 278   107.97 24.64
NGC 278   111.21 24.70
NGC 278   114.55 24.78
NGC 278   117.98 24.84
NGC 278   121.52 24.90
NGC 278   125.17 25.05
NGC 278   128.92 25.19
NGC 278   132.79 25.32
NGC 278   136.78 25.48
NGC 278   140.88 25.54
NGC 278   145.11 25.87
NGC 278   149.46 25.88
NGC 278   153.94 26.09
NGC 278   158.56 26.21
NGC 278   163.32 26.42
NGC 278   168.22 26.48
NGC 278   173.27 26.61
NGC 278   178.46 26.70
NGC 278   183.82 26.99
NGC 278   189.33 26.84
NGC 278   195.01 26.72
NGC 949     1.78 18.31
NGC 949     1.83 18.32
NGC 949     1.88 18.32
NGC 949     1.94 18.33
NGC 949     1.99 18.34
NGC 949     2.06 18.35
NGC 949     2.12 18.35
NGC 949     2.18 18.36
NGC 949     2.25 18.37
NGC 949     2.31 18.38
NGC 949     2.38 18.39
NGC 949     2.45 18.40
NGC 949     2.53 18.41
NGC 949     2.61 18.42
NGC 949     2.68 18.44
NGC 949     2.77 18.45
NGC 949     2.85 18.46
NGC 949     2.93 18.47
